p,r,tags
¿Cómo puedo hacer una prueba de manejo con Nissan LEAF®?,Puedes solicitarla llenando el formulario en este sitio. Ir a formulario. [botón que dirige a sección de prueba de manejo],"prueba,manejo,test,solicitar,Distribuidor"
¿Dónde se ubica la batería? ¿Ocupa mucho del espacio de la cajuela?,"La batería está ubicada en el piso del vehículo, por lo que su intrusión en las dimensiones interiores es mínima.","batería,ubicación,espacio,dimensiones"
¿Hay algo que proteja la batería de Nissan LEAF® en caso de choque?,"La batería está ubicada debajo de los asientos y está completamente integrada a la estructura del auto. Ya ha sido probada contra impactos e iguala o supera todos los estándares regulatorios, como todos los vehículos Nissan.","batería,protección,prevención,choque,impacto,accidente,ubicación,estándar,regulación,calidad,seguridad"
¿La ubicación de la batería previene abatir el asiento trasero?,Para nada. La batería está ubicada en el piso del auto y no interfiere con el espacio interior.,"Batería,ubicación,espacio,dimensiones,asientos."
El motor eléctrico es más pequeño que uno de gasolina. El tanque de gasolina ya no existe y la batería está en el piso del vehículo. ¿Esto quiere decir que hay más espacio para equipaje?,La ausencia del tanque significa gran espacio de almacenaje en relación al tamaño del auto. Es muy espacioso.,"Motor,eléctrico,gasolina,combustible,tanque,espacio,almacenaje,equipaje,dimensiones,tamaño"
¿Cuál es el peso del auto?,"Nissan LEAF® tiene un peso vehicular de 1,509 kg.","Peso,vehicular,dimensiones,kilos,kilogramos,toneladas."
¿Cuántas personas caben a bordo de Nissan LEAF®?,Nissan LEAF® es muy espacioso y cuenta con 5 asientos para acomodar perfectamente a 5 pasajeros.,"Espacio,capacidad,asientos,pasajeros,dimensiones,tamaño"
¿Podré conectar al vehículo una laptop u otro dispositivo?,"Nissan LEAF® cuenta con un tomacorriente de 12 V. Sin embargo, su uso afectará directamente la autonomía del vehículo.","Gadgets,dispositivos,tecnología,MP3,computadoras,reproductor,batería,energía,duración,equipamiento,rendimiento,desempeño,autonomía,alcance"
¿Con qué clase de sistema de audio cuenta Nissan LEAF®?,"Nissan LEAF® tiene un sistema de audio que cuenta con radio AM, FM, CD, capacidad de reproducir archivos WMA y MP3, e interfaz USB para iPod® y otros reproductores de MP3.","Audio, sonido, música, radio, estéreo, AM, FM, CD, WMA, MP3, USB, iPod,reproductor,gadgets,dispositivos,tecnología,equipamiento"
¿Cuenta con cámara de reversa?,"Actualmente, Nissan LEAF® está equipado con Around View Monitor que integra 4 cámaras para permitir tener a la vista todo lo que rodea al vehículo.","Around View Monitor,cámara,trasera,reversa,equipamiento,dispositivos,tecnología"
¿Qué beneficios obtengo al adquirir un Nissan LEAF®?,"<ul><li>Exención de impuestos.Por ser un vehículo 100% eléctrico, Nissan LEAF® está exonerado de impuestos por tenencia, servicio de verificación vehicular e ISAN*.</li><li>   Nunca cargarás gasolina. Ahorrarás hasta un 50% respecto a lo que gastarías en un auto con motor de combustión interna. Y podrás disfrutar de mantenimiento gratis durante los primeros 3 años o 60,000 Km (lo que ocurra primero).</li><li> Estacionamiento gratis. A través de un plan de alianzas, Nissan LEAF® cuenta con lugares de estacionamiento exclusivos en espacios públicos y centros comerciales.</li><li>Recargas gratis. Actualmente existen numerosas estaciones de recarga y cada día son más los espacios que tienen un lugar destinado para que recargues sin costo tu Nissan LEAF®.</li><li>Asistencia Vial. Al adquirir un Nissan LEAF®, tienes derecho a diferentes servicios de asistencia vial de manera gratuita.</li><li>La exención de los costos de tenencia, verificación e ISAN está regida por la legislación federal y/o local y no depende de Nissan.</li></ul>




","Beneficios,eléctrico,impuestos,tenencia,verificación,exención,ISAN,Impuesto Sobre Automóviles Nuevos,gasolina,combustible,motor,tanque,mantenimiento,reparación,garantía, cobertura,rendimiento,carga,recarga,batería,duración,estación,estacionamiento,gratis,espacios públicos,centros comerciales,exclusivo,asistencia,apoyo, servicio, vial"
¿Cuánto tarda la recarga de la batería?,"Una vez que el indicador de energía baja se ha encendido, la carga lenta en una estación de 110/120V toma alrededor de 16 horas. La carga normal en una estación de 220/240V toma aproximadamente 3.5 horas, y el modo de carga rápido en estaciones de 440/480V puede ir de 0% a 80% en 30 minutos.","Carga,recarga,batería,duración,tiempo,energía,estación,minutos,horas."
¿Dónde puedo recargar Nissan LEAF®?,"La mayoría de la gente lo hará en la estación de recarga en casa, aunque ya existen estaciones de recarga en sitios públicos. Buscar una estación de recarga.[botón que dirige a sección 2.2]","Carga,recarga,sitios públicos,batería,estación,energía,ubicación."
¿Es posible recargar la batería aunque no esté vacía?,Sí es posible.,"Carga,recarga,batería,energía,protección"
¿Nissan LEAF® cuenta con algún sistema de carga a bordo como respaldo de emergencia?,"Nissan LEAF® incluye un cable de carga portátil de 110/120V que funciona con el cargador a bordo. Su uso es ocasional y no se recomienda como el principal método de recarga. Para ello existe la estación de recarga casera, que utiliza una conexión de 220/240V en el hogar.","Carga,recarga,batería,energía,respaldo,emergencia,cargador,conector,estación,portátil"
¿Qué hago si quiero recorrer más de 160 km en un sólo viaje?,Te recomendamos localizar las estaciones de recarga para Nissan LEAF® cercanas a tu ruta. Buscar una estación de recarga. [botón que dirige a sección 2.2],"Batería,energía,duración,distancia,recorrido,rendimiento,desempeño,manejo,kilometraje,kilómetros,carga,recarga,estación,sitios públicos,ubicación"
¿Hay múltiples opciones de cómo y dónde hacer recargas?,"Definitivamente. Podrás recargar tu Nissan LEAF® en casa y en las estaciones de carga públicas disponibles en distintos puntos del DF, Morelos, Monterrey y Aguascalientes. Buscar una estación de recarga. [botón que dirige a sección 2.2]","Carga,recarga,batería,energía,opciones,métodos,cargador,estación,sitios públicos,ubicación"
¿Existe alguna iniciativa para desarrollar opciones de recarga fuera de casa?,"Sí, estamos trabajando activamente con todos los niveles de gobierno e instituciones privadas para desarrollar más estaciones de recarga en lugares públicos y de trabajo.","Carga,recarga,estación,batería,energía,instituciones,gobierno,desarrollo,infraestructura,sitios públicos"
¿Habrá un conector estándar (110/120V) o tengo que adquirir una estación o toma de corriente patentada?,"Para recargas en casa, recomendamos usar la estación de recarga casera conectada directamente a un circuito de 220/240V y 40A para la alimentación del vehículo.","Cargador,conector,batería,energía,carga,recarga,estación,instalación,electricidad,voltaje,voltios,amperaje"
¿El cargador está integrado al vehículo?,"Sí, para utilizarlo sólo tienes que conectarlo a una estación de carga apropiada para proveer energía al cargador.","Cargador,conector,batería,energía,carga,recarga,estación"
¿Puede conectarse a una toma de corriente común?,"Puede cargarse en una toma de corriente dedicada de 110/120V y 20A. Ésta es la carga portátil, por lo que la recarga será más lenta de lo normal. Para recargas caseras, recomendamos una estación de recarga casera conectada a un circuito dedicado de 220/240V y 40A.","Carga,recarga,batería,energía,electricidad,corriente,cargador,conector,portátil,instalación,tiempo,duración,voltaje,amperaje"
¿Qué pasa si se me acaba la batería en el camino?,"Tener un Nissan LEAF® incluye asistencia vial. Un servicio de Nissan Posventa trasladará el auto en grúa a la estación de recarga más cercana, ya sea tu domicilio o un Distribuidor Autorizado Nissan.","Batería,energía,duración,rendimiento,desempeño,recorrido,carga,recarga,asistencia,ayuda,apoyo,servicio,vial,estación,grúa,Posventa,Distribuidor,Autorizado"
"¿Dentro de cuánto tiempo será posible recargar el auto en cualquier lado, como en gasolineras?","Estamos trabajando para incentivar a los gobiernos y terceras partes para incrementar la infraestructura de recarga. Conforme crezca la aceptación de vehículos eléctricos, esperamos que la infraestructura también lo haga. Seguramente, la mayoría de la gente recargará su Nissan LEAF® en casa, como hacen con sus smartphones.","Batería,energía,carga,recarga,sitios públicos,estación,gasolina,gasolinera,eléctrico,infraestructura,desarrollo,gobierno"
¿Cuánto durará cargada la batería si estaciono Nissan LEAF® donde no puedo recargarlo?,"Esto depende de varios factores como la temperatura ambiente, la edad de la batería, y cuánta energía queda en la batería al estacionar el auto. Sin embargo, el consumo en este caso es muy pequeño en relación a la capacidad de la batería.","Batería,energía,duración,rendimiento,desempeño,carga,recarga,condiciones,ambiente,temperatura,consumo"
¿Quién puede realizar la instalación eléctrica para el Cargador Tipo 2 en mi casa?,Una evaluación profesional del sistema eléctrico de tu hogar viene incluida en el proceso de compra. Será realizada por un Proveedor Certificado Nissan y el costo dependerá de la instalación eléctrica existente en tu hogar.,"Batería,energía,cargador,conector,instalación,carga,recarga,estación,eléctrica,profesional,proveedor,certificado"
¿Qué ajustes debo hacer en el cableado de mi casa para tener un Nissan LEAF®?,La estación de carga casera requiere un circuito dedicado de 220/240V y 40A conectado al transformador. La estación de carga tiene que ser conectada directamente al circuito por un electricista calificado de un Proveedor Certificado Nissan.,"Batería,energía,cargador,conector,instalación,carga,estación,eléctrica,profesional,proveedor,certificado,voltaje,amperaje,cableado"
Se necesita contar con la infraestructura requerida primero. ¿Por qué compraría este auto si estaría anclado a mi casa para recargarlo?,"La mayoría de la gente recargará su auto como un celular: en casa durante la noche. Además, estamos trabajando activamente con todos los niveles de gobierno y empresas privadas para incrementar la infraestructura pública.","Batería,energía,carga,recarga,estación,infraestructura,sitios públicos,gobierno,instituciones,desarrollo"
¿Es posible cargar la batería bajo la lluvia?,"Sí, la estación de carga está impermeabilizada y Nissan LEAF® viene equipado con Nissan EVSE (Equipo Suplementario para Vehículo Eléctrico), mismo que impide que la batería continúe la recarga si se detectan fugas eléctricas. Por seguridad, no conectes ni desconectes el cable de carga de la toma de corrientes con las manos mojadas. Si el cable está sucio o mojado, desconéctalo y sécalo y/o límpialo completamente.","Batería,energía,carga,recarga,seguridad,prevención,protección,lluvia,agua,fugas,eléctrico,accidentes"
¿Cuántas recargas puede resistir la batería?,"Como todas las baterías de ión de litio, la de Nissan LEAF® sufrirá pérdida gradual de capacidad con el paso del tiempo. Se espera que la batería dure más de 10 años, sin embargo, podría haber pérdida gradual del 30% de la capacidad o más, dependiendo de los patrones de manejo y sus efectos en la batería. Ésta podrá ser usada posteriormente para aplicaciones de almacenaje.","Batería,energía,duración,capacidad,vida,útil,pérdida,recarga"
¿Un auto eléctrico es lo mismo que uno de hidrógeno?,No. Los vehículos de hidrógeno utilizan la combustión de hidrógeno o celdas de combustible. Nissan LEAF® es 100% eléctrico y recargable.,"Eléctrico,gasolina,combustión,hidrógeno,celdas,combustible,diferencia"
¿ Nissan LEAF® está equipado con frenos de disco o de tambor de 4 llantas?,Los frenos son regenerativos para ayudar a mantener la carga de la batería y optimizar la distancia de manejo. Son frenos de disco de 4 llantas.,"Equipamiento,frenos,disco,tambor,llantas,recuperación,regenerativos,energía,batería,recarga,carga,distancia"
¿Nissan LEAF® utiliza frenos regeneradores para ayudar a recargar la batería?,"Sí, cada vez que se aplica el freno, el motor eléctrico actúa como generador de energía eléctrica. Nissan LEAF® recupera parte de la energía creada por el frenado, y la almacena en la batería.","Frenos,motor,eléctrico,generador,energía,batería,rendimiento"
¿Qué clase de batería utiliza Nissan LEAF®?,Nissan LEAF® utiliza una batería de ión de litio con capacidad de 24 kWh.,"Batería,energía,tipo,ión,litio,capacidad,kilowatts,kWh,kilowatt-hora,kilovatio-hora"
"Si sólo conduzco 80 km al día, ¿afectará a la batería si se recarga al límite de su capacidad cada noche? ¿Tomaría sólo 8 horas si se carga desde una estación de 110V?","No, una recarga al límite de capacidad no afectará negativamente la batería. Generalmente, si se consumió la mitad de la capacidad de la batería y se utilizó el cable de carga portátil, tomaría alrededor de 10 horas. Con una estación de carga Nissan conectada a un circuito de 220/240V (40A), tomaría alrededor de 3.5 horas.","Batería,energía,carga,recarga,consumo,portátil,distancia,kilometraje,capacidad,voltaje,amperaje,horas"
¿Existen diseños para un futuro Nissan LEAF® que alcance a ir más lejos de 160 km con una sola carga?,Nuestra visión es mejorar nuestros vehículos de manera constante para cubrir las necesidades de nuestros clientes.,"Diseño,desempeño,modelo,alcance,distancia,kilómetros,duración,rendimiento"
¿Qué clase de faros utiliza?,"Utiliza luces delanteras y traseras de LED, que usan mucho menos energía que luces convencionales.","Faros,luces,delanteras,traseras,frontales,LED,energía,conservación,ahorro,rendimiento"
¿Cuánta vida útil tiene la batería? ¿Puede ser reciclada?,"Como todas las baterías de ión de litio, la de Nissan LEAF® sufrirá pérdida gradual de capacidad con el paso del tiempo. Se espera que la batería dure más de 10 años, sin embargo, podría haber pérdida gradual del 30% de la capacidad o más, dependiendo de los patrones de manejo y sus efectos en la batería. Ésta podrá ser usada posteriormente para aplicaciones de almacenaje.","Batería,energía,duración,distancia,capacidad,vida,útil,pérdida,reciclar"
¿Se han considerado paneles solares en el vehículo para recargar la batería?,Nissan LEAF® incluye un pequeño panel solar integrado en el alerón trasero para la carga del tomacorriente de 12 V y el sistema de frenado.,"Batería,energía,carga,recarga,panel,celda,solar,frenos,sistema,rendimiento,desempeño"
¿Qué diferencia hay entre Nissan LEAF® y un auto híbrido?,"La principal diferencia es que no requiere tubo de escape. Nissan LEAF® opera al 100% con electricidad, mientras que un híbrido necesita una mezcla de gasolina y electricidad. En un híbrido tradicional, incluso la electricidad se genera en el motor de gasolina.","Batería,energía,electricidad,diferencia,combustible,gasolina,híbrido"
¿Qué es alcance de manejo o autonomía del vehículo?,"Es la distancia que puede recorrer Nissan LEAF® con una carga total de batería. Puede recorrer hasta 160 km en un día, con variaciones según hábitos de manejo, condiciones climáticas y edad de la batería.","Batería,energía,kilómetros,carga,capacidad,alcance,manejo,autonomía,rendimiento,desempeño"
¿Hay alguna manera de extender la autonomía de Nissan LEAF®?,"Puedes activar el Modo Eco que conserva la energía del auto y mejora su alcance hasta un 10%, haciéndolo aún más eficiente.","Batería,energía,ahorro,conservación,consumo,alcance,autonomía,rendimiento,desempeño,modo Eco"
¿Qué hago si quiero recorrer más de 160 km en un solo viaje?,Te recomendamos localizar las estaciones de recarga para Nissan LEAF® cercanas a tu ruta para planificar tu viaje.,"Batería,energía,duración,distancia,manejo,autonomía,alcance,desempeño,rendimiento,viaje,recorrido,carga,recarga,estación. Buscar una estación de recarga. [botón que dirige a sección 2.2]"
¿Qué distancia puede cubrir Nissan LEAF® con una sola carga?,"Basados en pruebas de laboratorio usando la metodología EPA y ciclo de manejo LA4, hasta 160 km. Sin embargo, la autonomía de Nissan LEAF® varía según hábito de manejo, condiciones climatológicas y edad de la batería.","Batería,energía,duración,distancia,manejo,autonomía,alcance,desempeño,rendimiento,viaje,recorrido,kilómetros"
¿Qué tanto se reduce la autonomía del vehículo usando la calefacción?,"El uso de la calefacción o del aire acondicionado impactará la autonomía. Es posible calentar o enfriar el auto previamente mientras se carga, para reducir el impacto sobre la batería y optimizar el alcance de Nissan LEAF®.","Batería,energía,duración,desempeño,rendimiento,autonomía,distancia,alcance,calefacción,aire,acondicionado,A/C"
¿El vehículo se detiene si la batería se descarga completamente?,"Nissan LEAF® viene equipado para evitar la pérdida total de electricidad. Si la energía de la batería es baja, el sistema regulará la velocidad del vehículo para conservar electricidad. También se incluye un cable de carga portátil de 110/120V que funciona con el cargador a bordo. Se recomienda su uso ocasional y no como principal método de recarga para conservar vida útil de la batería.","Batería,energía,duración,rendimiento,desempeño,autonomía,velocidad,sistema,electricidad,conservación,ahorro,optimización,carga,recarga,cargador,portátil,a bordo"
¿El sistema de frenado deja de operar si la batería se descarga completamente?,"No, el sistema de frenado opera usando la batería accesorio de 12V, por lo que aún funcionará si la batería principal de ión de litio se descarga en su totalidad. Nissan LEAF® cuenta con un panel solar en el alerón trasero para la recarga de la batería de 12 V. También es posible recargar la batería de 12V de forma manual. Para hacerlo, te recomendamos consultar el Manual del Usuario.","Batería,energía,frenos,sistema,panel,celda,solar,alerón,spoiler,autonomía,alcance"
¿La distancia de manejo puede ser afectada por la resistencia del aire en autopista?,"La distancia de manejo puede depender de factores como las condiciones climatológicas, hábitos de manejo y edad de la batería. La resistencia del aire aumenta con la velocidad, por lo que se requerirá mayor energía para desplazar el vehículo en carretera. En la ciudad, Nissan LEAF® tiene un mejor kilometraje que vehículos de combustible, ya que el consumo del mismo se incrementa con las constantes aceleraciones en el tráfico.","Batería,energía,duración,rendimiento,desempeño,distancia,manejo,recorrido,autopista,carretera,resistencia,aire,autonomía,alcance"
¿El desempeño disminuye con el tiempo al envejecer la batería?,"Como con cualquier batería, el uso y el tiempo conducen a una pérdida gradual de capacidad, lo que impactará directamente el alcance de manejo.","Batería,energía,duración,desempeño,rendimiento,vida,útil,pérdida,gradual,capacidad,alcance,distancia,manejo,autonomía"
Donde vivo el tráfico es un problema. ¿La batería también se consume cuando el auto no está en movimiento?,"Si el auto no está en movimiento, la batería sólo se consume al utilizar las luces, el estéreo y otros accesorios.","Batería,energía,duración,rendimiento,desempeño,autonomía,consumo,tráfico,estacionado,detenido,movimiento,luces,estéreo,accesorios"
¿A cuánto disminuiría la autonomía de 160 km si se incluye a 4 pasajeros de 90 kg cada uno?,"Como en cualquier auto, la carga y hábitos de manejo impactan en el desempeño. El alcance del auto varía según estos hábitos de manejo, condiciones de clima y edad de la batería.","Batería,energía,duración,rendimiento,desempeño,autonomía,consumo,kilómetros,capacidad,pasajeros,peso,clima,climáticas"
¿Qué tanto afecta al desempeño y vida de la batería el manejar en clima frío?,"Los hábitos y patrones de manejo, el uso de accesorios (incluyendo calefacción y aire acondicionado), así como la temperatura ambiente, inciden en la distancia de manejo. Nissan LEAF® viene equipado con todas las características estándar para clima frío, incluyendo calefacción de la batería, volante con calefacción, y asientos delanteros y traseros con calefacción.","Batería,energía,duración,rendimiento,desempeño,distancia,vida,útil,condiciones,climáticas,clima,ambiente,temperatura,calefacción,volante"
¿La luz de energía limitada indica alguna falla de funcionamiento?,"No. La luz de energía limitada indica cuando el nivel de la batería se encuentra demasiado bajo, por lo que el sistema regulará la energía y la velocidad del vehículo disminuirá, pero no quiere decir que exista alguna falla. Si la luz indicadora de energía limitada se enciende, recomendamos conducir lentamente hasta un lugar seguro o a la estación de recarga más cercana.","Batería,energía,rendimiento,desempeño,duración,luz,limitada,sistema,velocidad,consumo,ahorro,conservación,estación,carga,recarga"
¿Cómo se desempeña en pruebas de colisión?,"Nissan LEAF®, al igual que todos los autos Nissan, está hecho para igualar o superar todas las regulaciones federales de seguridad, así como nuestras rigurosas pruebas internas.","Desempeño,rendimiento,pruebas,colisión,choque,accidente,seguridad,prevención"
¿Qué torque tiene Nissan LEAF®?,Tiene un torque de 254Nm/187 (lbs. –ft.) y dispone del 100% de éste a 0 RPM.,"Torque,revoluciones por minuto,desempeño,rendimiento"
¿Nissan LEAF® puede remolcar un pequeño barco o un tráiler de jardín?,"No se recomienda usar el auto para remolcar, como se indica en el Manual del Usuario. A largo plazo, esperamos proveer opciones para necesidades específicas como ésta.","Desempeño,remolcar,barco,tráiler,manual,peso"
¿Qué clase de aceleración tiene Nissan LEAF®?,La aceleración de Nissan LEAF® es sorprendentemente silenciosa y suave.,"Aceleración,ruido,silenciosa"
¿Qué velocidad puede alcanzar este auto?,Puede alcanzar una velocidad máxima de 145 km/h.,"Velocidad,máxima,kilómetros,hora,desempeño"
¿Qué tipo de mantenimiento necesita Nissan LEAF®?,"Nissan LEAF® cuenta con mantenimiento gratis durante los 3 primeros años o 60,000 km (lo que ocurra primero). Consulta más información en la guía de mantenimiento.","Mantenimiento,reparación,cobertura,garantía,kilómetros,gratis,servicio,taller"
"Si se presenta algún problema, ¿puede algún mecánico calificado reparar un Nissan LEAF®?","Nissan LEAF® tiene un motor eléctrico, no de gasolina, por lo que requerirá servicio en un Distribuidor Autorizado Nissan por parte de un técnico de vehículos eléctricos calificado.","Falla,problema,avería,mantenimiento,reparación,motor,eléctrico,gasolina,técnico,calificado,taller"
¿Cuál es el costo de mantenimiento de Nissan LEAF®?,"El mantenimiento de Nissan LEAF® es gratuito durante los 3 primeros años o los primeros 60,000 km (lo que ocurra primero). Posteriormente, Nissan LEAF® tiene un bajo costo en los servicios de mantenimiento preventivos. En total, hasta 30% menos que el vehículo más competitivo de la gama Nissan. Los costos varían de acuerdo al siguiente tabulador: LEAF        10/30/50KM        20/60KM        40 KM        70KM        80KM        90KM        100KM
Costo        $539        $1,565        $2,074        $539        $2,841        $539        $1,565
","Mantenimiento,reparación,costo,precio,gratuito,gratis,kilometraje,servicio,preventivo,taller"
¿Qué tan caro es tener un Nissan LEAF®?,"Manejar un Nissan LEAF® es económico, ya que ahorras hasta un 60% en cada recarga.","Costo,precio,gasto,ahorro,conservación"
¿Mi recibo de luz será muy costoso?,"No, Nissan LEAF® puede recargarse hasta en 4 horas. Dependiendo de tus hábitos de manejo, invertirás aproximadamente $650 al mes.","Recibo,luz,electricidad,eléctrico,costo,gasto,precio,consumo"
¿La revisión de la batería de ión de litio es obligatoria?,"Se recomienda llevar la batería de ión de litio a revisión al mismo tiempo que el auto necesite el servicio obligatorio. Esto es requerido por Nissan, al igual que todos los puntos de inspección, para continuar utilizando Nissan LEAF® de manera segura y sin inconvenientes. La garantía está condicionada por el intervalo de mantenimiento establecido para el auto.","Revisión,mantenimiento,reparación,prevención,servicio,batería,seguridad,garantía"
¿Puedo reemplazar un módulo de la batería de ión de litio si se presenta pérdida gradual de carga?,"Sí, se puede cambiar un módulo dañado dependiendo de las circunstancias. Contacta a un Distribuidor Autorizado Nissan para que la inspección sea correcta.","Batería,mantenimiento,reparación,módulo,remplazo,sustitución,pérdida,gradual,carga,vida útil,daño"
¿Hay algún riesgo de descarga eléctrica cuando se lava Nissan LEAF®?,"No, el vehículo puede ser lavado de la misma manera que un auto que utiliza gasolina. Sin embargo, no debe lavarse el auto cuando se está cargando la batería.","Riesgo,peligro,seguridad,prevención,accidente,carga,batería,lavar,lavado,autolavado"
¿Es seguro tocar algunas partes con el cofre abierto?,"Sí, es seguro. Sin embargo, no se debe mover el protector o partes con alto voltaje, al igual que los arneses naranjas, debido a que contienen alto voltaje (las partes eléctricas de alto voltaje están etiquetadas). Tampoco es recomendable tocar las partes relacionadas con la carga de batería al iniciar y detener el proceso de carga, ya que se calientan por la circulación del líquido refrigerante para mantener una temperatura óptima.","Riesgo,peligro,seguridad,prevención,accidente,carga,recarga,batería,temperatura,cofre,voltaje,partes,eléctricas"
¿Qué incluye el servicio de Asistencia Vial Nissan LEAF®?,"Nissan LEAF® incluye asistencia vial, un servicio de Nissan Posventa que brinda apoyo en las siguientes circunstancias. <ul><li>Traslado por avería de llanta sin costo
En caso de que alguna de las llantas tuviera un incidente que impida la movilidad, se enviará una grúa para traslado al Distribuidor Autorizado Nissan más cercano. Incluye 3 eventos al año.</li><li>Recarga de batería. En caso de descarga de batería, se enviará el vehículo en grúa al punto de recarga más cercano, ya sea a un Distribuidor Autorizado Nissan o el domicilio del cliente. Incluye 3 eventos al año.</li><li>Pick up & delivery. Si tu domicilio se encuentra a más de 300 Km del Distribuidor Autorizado Nissan más cercano, el auto se trasladará en plataforma sin costo para realizar su servicio de mantenimiento preventivo. Incluye 2 eventos al año.</li><li>Concierge. Servicio personalizado de información, recomendaciones y reservaciones en hoteles, tours, restaurantes, boletos de avión, arrendamiento de autos, etc. Sin límite de eventos.</li></ul>



","Asistencia,apoyo,servicio,vial,posventa,avería,llanta,gratis,traslado,eventos,año,recarga,batería,plataforma,mantenimiento,preventivo,reservación,personalizado,hotel,tour,restaurante,boleto,avión,arrendamiento"
"Si debo remolcar mi Nissan LEAF®, ¿puede hacerse con una cadena?","No, debe ser remolcado con las llantas delanteras o las cuatro llantas levantadas. Si se remolca de la parte trasera del vehículo, pueden generarse fallas del motor generador y ocasionar un accidente. Nunca se debe remolcar un vehículo de la parte trasera con las llantas delanteras en el piso.","Remolcar,llantas,delanteras,fallas,generador,accidente,avería,descompostura"
¿Qué debo hacer si se daña el motor o la batería de ión de litio durante un accidente?,"Primero revisa si el vehículo sufrió algún daño. Si no hay daño en el arnés naranja o en la batería de ión de litio, da primeros auxilios a las personas lesionadas. Después contacta a la policía o servicios de emergencia. Aunque Nissan LEAF® está diseñado para desactivar la corriente de energía de alto voltaje en caso de un accidente, no se deben tocar los arneses o las partes de alto voltaje expuestas.","Daño,falla,avería,descompostura,accidente,motor,batería,arnés prevención,primeros auxilios,corriente,eléctrica,emergencia,voltaje"
"¿Si la batería de ión de litio se daña durante un accidente, hay algún riesgo de incendio o explosión?","Esencialmente no hay riesgo. La batería de ión de litio está protegida por una carcaza y el chasis rígido del vehículo para asegurarla en caso de un accidente. Sin embargo, es necesario comunicar a los servicios de seguridad, bomberos y primeros auxilios que están tratando con un vehículo eléctrico para que puedan manejar el accidente correctamente.","Riesgo,peligro,accidente,daño,descompostura,avería,falla,batería,incendio,explosión,seguridad"
¿Qué es Zero Emissions?,"A través de los años, Nissan se ha esforzado por desarrollar autos que no dañen el medio ambiente; es decir, vehículos eléctricos sin emisiones de dióxido de carbono (CO2). Un vehículo cero emisiones contribuye a desarrollar un planeta más limpio, ya que produce menos residuos de aceites para no contaminar el agua, reduce la contaminación por ruido, y por lo tanto aumenta la calidad de vida de todos.","Zero Emissions,cero,emisiones,medio,ambiente,eléctrico,dióxido,carbono,CO2,limpio,residuos,contaminación,sustentabilidad"
¿Nissan LEAF® portará el logo de Zero Emissions?,"Sí, el logo de Zero Emissions estará ubicado en la parte posterior de todos los Nissan LEAF®.","Zero Emissions,cero,emisiones,limpio,dióxido,carbono,CO2"
